time,meeting,origin,dest,count
2024-01-01,icml,306,5,7
2023-01-01,iccv,6,6,7
2021-01-01,nips,54,54,7
2024-01-01,corl,178,178,7
2024-01-01,www,5,5,7
2024-01-01,siggraphasia,7,7,7
2025-01-01,aaai,5,5,7
2023-01-01,iclr,32,32,7
2025-01-01,aaai,258,258,7
2024-01-01,colm,41,41,7
2022-01-01,ijcai,9,9,7
2021-01-01,acl,42,42,7
2022-01-01,cvpr,56,56,7
2025-01-01,iclr,37,16,7
2021-01-01,iccv,14,14,7
2025-01-01,iclr,5,12,7
2025-01-01,iclr,0,60,7
2021-01-01,emnlp,103,103,7
2024-01-01,icml,30,30,7
2025-01-01,aaai,180,180,7
2022-01-01,ijcai,26,26,7
2024-01-01,cvpr,9,9,7
2025-01-01,iclr,30,16,7
2024-01-01,colm,16,9,7
2023-01-01,aaai,18,18,7
2024-01-01,acl,164,164,7
2022-01-01,cvpr,7,7,7
2022-01-01,cvpr,8,8,7
2022-01-01,nips,104,104,7
2022-01-01,cvpr,51,51,7
2024-01-01,aaai,59,59,6
2024-01-01,icml,149,149,6
2022-01-01,nips,30,5,6
2023-01-01,iclr,141,141,6
2023-01-01,icml,12,16,6
2023-01-01,icml,25,25,6
2024-01-01,nips,291,291,6
2022-01-01,emnlp,440,440,6
2023-01-01,nips,57,57,6
2024-01-01,cvpr,28,28,6
2024-01-01,cvpr,74,74,6
2024-01-01,aaai,16,16,6
2023-01-01,nips,214,214,6
2025-01-01,aaai,13,136,6
2022-01-01,emnlp,26,26,6
2024-01-01,aaai,140,140,6
2024-01-01,aaai,141,141,6
2022-01-01,cvpr,147,147,6
2022-01-01,corl,1,1,6
2022-01-01,iclr,6,5,6
2021-01-01,cvpr,34,34,6
2024-01-01,acl,37,37,6
2022-01-01,aaai,409,409,6
2024-01-01,acl,154,154,6
2024-01-01,iclr,41,16,6
2021-01-01,nips,10,10,6
2024-01-01,ijcai,67,67,6
2022-01-01,nips,5,6,6
2022-01-01,ijcai,44,44,6
2021-01-01,nips,4,4,6
2023-01-01,emnlp,42,42,6
2021-01-01,ijcai,77,77,6
2024-01-01,cvpr,41,41,6
2022-01-01,emnlp,30,9,6
2021-01-01,aaai,41,41,6
2024-01-01,iclr,235,235,6
2024-01-01,acl,32,32,6
2021-01-01,cvpr,0,0,6
2018-01-01,eccv,37,37,6
2023-01-01,acl,155,155,6
2025-01-01,iclr,252,252,6
2023-01-01,cvpr,97,97,6
2025-01-01,iclr,41,12,6
2023-01-01,iccv,14,14,6
2025-01-01,aaai,67,67,6
2023-01-01,iclr,12,16,6
2023-01-01,iccv,18,18,6
2025-01-01,iclr,248,248,6
2025-01-01,iclr,192,192,6
2021-01-01,iclr,146,146,6
2024-01-01,iclr,0,9,6
2020-01-01,eccv,37,37,6
2021-01-01,iccv,60,60,6
2021-01-01,ijcai,0,0,6
2024-01-01,iclr,103,103,6
2023-01-01,iccv,181,181,6
2023-01-01,emnlp,70,70,6
2025-01-01,aaai,393,393,6
2019-01-01,cvpr,6,6,6
2023-01-01,iclr,300,300,6
2023-01-01,iclr,214,214,6
